MSSV,HoVaTen,NgaySinh,Email,SDT,MaLop
SV00061,Nguyen Thanh Linh,04/05/2004,nguyenthanhlinh.sv00061@school.edu.vn,0793971567,L002
SV00062,Vu Ngoc Xuan,19/01/2004,vungocxuan.sv00062@school.edu.vn,0440110615,L002
SV00063,Mai Huu Xuan,19/02/2002,maihuuxuan.sv00063@school.edu.vn,0739128721,L002
SV00064,Ly Thi An,17/02/2004,lythian.sv00064@school.edu.vn,0745396331,L002
SV00065,Dinh Minh Long,22/01/2003,dinhminhlong.sv00065@school.edu.vn,0658714122,L002
SV00066,Truong Van Giang,14/07/2003,truongvangiang.sv00066@school.edu.vn,0530311923,L002
SV00067,Bui Van Hoa,01/06/2005,buivanhoa.sv00067@school.edu.vn,0550103290,L002
SV00068,Pham Quang Vinh,06/11/2005,phamquangvinh.sv00068@school.edu.vn,0877787683,L002
SV00069,Ly Huu Linh,28/03/2005,lyhuulinh.sv00069@school.edu.vn,0538828379,L002
SV00070,Ly Ngoc Em,08/04/2005,lyngocem.sv00070@school.edu.vn,0574651620,L002
SV00071,Dang Minh Linh,10/11/2003,dangminhlinh.sv00071@school.edu.vn,0582075252,L002
SV00072,Dinh Quang Oanh,15/06/2003,dinhquangoanh.sv00072@school.edu.vn,0853535201,L002
SV00073,Hoang Kim Hoa,01/08/2005,hoangkimhoa.sv00073@school.edu.vn,0410480195,L002
SV00074,Duong Kim Nhu,25/05/2005,duongkimnhu.sv00074@school.edu.vn,0852919334,L002
SV00075,Ly Gia Tuan,25/09/2005,lygiatuan.sv00075@school.edu.vn,0987697599,L002
SV00076,Ho Thanh Hoa,06/07/2005,hothanhhoa.sv00076@school.edu.vn,0551770381,L002
SV00077,Le Thanh Mai,18/03/2002,lethanhmai.sv00077@school.edu.vn,0440714364,L002
SV00078,Pham Van Bao,23/09/2002,phamvanbao.sv00078@school.edu.vn,0836346246,L002
SV00079,Vu Thanh Trang,16/04/2005,vuthanhtrang.sv00079@school.edu.vn,0544721824,L002
SV00080,Vo Minh Oanh,18/11/2003,vominhoanh.sv00080@school.edu.vn,0886073862,L002
SV00081,Truong Van Thy,16/06/2002,truongvanthy.sv00081@school.edu.vn,0993405630,L002
SV00082,Do Thi Nhu,15/07/2003,dothinhu.sv00082@school.edu.vn,0812217985,L002
SV00083,Phan Gia Thy,08/12/2005,phangiathy.sv00083@school.edu.vn,0589905449,L002
SV00084,Vo Quang Uyen,20/11/2002,voquanguyen.sv00084@school.edu.vn,0852603091,L002
SV00085,Pham Van Nhu,06/08/2004,phamvannhu.sv00085@school.edu.vn,0728731618,L002
SV00086,Le Minh Cuong,06/05/2005,leminhcuong.sv00086@school.edu.vn,0681639973,L002
SV00087,Luu Minh Thy,06/10/2005,luuminhthy.sv00087@school.edu.vn,0499745343,L002
SV00088,Dinh Minh Ha,02/11/2003,dinhminhha.sv00088@school.edu.vn,0443183195,L002
SV00089,Ho Duc Phuong,11/05/2003,hoducphuong.sv00089@school.edu.vn,0613747584,L002
SV00090,Tran Ngoc Long,24/07/2003,tranngoclong.sv00090@school.edu.vn,0984063615,L002
SV00091,Bui Kim Nam,27/01/2005,buikimnam.sv00091@school.edu.vn,0681993016,L002
SV00092,Vo Thanh Son,04/09/2002,vothanhson.sv00092@school.edu.vn,0755285896,L002
SV00093,Tran Thanh Trang,08/11/2002,tranthanhtrang.sv00093@school.edu.vn,0730144159,L002
SV00094,Luu Ngoc Tuan,24/03/2002,luungoctuan.sv00094@school.edu.vn,0927723266,L002
SV00095,Vu Duc Hung,21/10/2002,vuduchung.sv00095@school.edu.vn,0825309139,L002
SV00096,Nguyen Ngoc Lan,26/05/2002,nguyenngoclan.sv00096@school.edu.vn,0936050874,L002
SV00097,Bui Thi Dung,20/02/2003,buithidung.sv00097@school.edu.vn,0941945999,L002
SV00098,Pham Van Khanh,09/11/2005,phamvankhanh.sv00098@school.edu.vn,0843679672,L002
SV00099,Hoang Thanh Nam,26/12/2003,hoangthanhnam.sv00099@school.edu.vn,0870746274,L002
SV00100,Hoang Thi Cuong,27/03/2004,hoangthicuong.sv00100@school.edu.vn,0821027949,L003
SV00101,Do Thanh Trang,10/06/2002,dothanhtrang.sv00101@school.edu.vn,0684609831,L003
SV00102,Do Van Oanh,12/01/2002,dovanoanh.sv00102@school.edu.vn,0974764918,L003
SV00103,Luu Kim Son,26/12/2004,luukimson.sv00103@school.edu.vn,0534445640,L003
SV00104,Pham Thanh Lan,10/09/2003,phamthanhlan.sv00104@school.edu.vn,0658086467,L003
SV00105,Vu Duc Giang,14/12/2004,vuducgiang.sv00105@school.edu.vn,0435540916,L003
SV00106,Dang Ngoc Trang,11/12/2004,dangngoctrang.sv00106@school.edu.vn,0359644882,L003
SV00107,Ly Gia Quyen,27/10/2005,lygiaquyen.sv00107@school.edu.vn,0478478521,L003
SV00108,Bui Kim Uyen,28/03/2002,buikimuyen.sv00108@school.edu.vn,0328581097,L003
SV00109,Vu Kim Thy,02/04/2005,vukimthy.sv00109@school.edu.vn,0772254133,L003
SV00110,Phan Minh Truc,20/10/2005,phanminhtruc.sv00110@school.edu.vn,0960965384,L003
SV00111,Nguyen Huu Thy,22/09/2005,nguyenhuuthy.sv00111@school.edu.vn,0426240283,L003
SV00112,Dinh Minh Oanh,23/07/2005,dinhminhoanh.sv00112@school.edu.vn,0590427972,L003
SV00113,Dinh Thanh Ha,17/04/2005,dinhthanhha.sv00113@school.edu.vn,0727023651,L003
SV00114,Nguyen Duc Uyen,25/11/2002,nguyenducuyen.sv00114@school.edu.vn,0970396001,L003
SV00115,Truong Gia Linh,27/09/2005,truonggialinh.sv00115@school.edu.vn,0458441212,L003
SV00116,Luu Thi Vinh,13/10/2003,luuthivinh.sv00116@school.edu.vn,0397153330,L003
SV00117,Hoang Huu Hung,12/04/2004,hoanghuuhung.sv00117@school.edu.vn,0940402643,L003
SV00118,Tran Gia Linh,05/06/2005,trangialinh.sv00118@school.edu.vn,0420019880,L003
SV00119,Truong Gia Phuong,08/05/2005,truonggiaphuong.sv00119@school.edu.vn,0632114328,L003
SV00120,Le Huu Vinh,07/10/2002,lehuuvinh.sv00120@school.edu.vn,0741707065,L003
SV00121,Truong Huu Hoa,11/01/2002,truonghuuhoa.sv00121@school.edu.vn,0571681677,L003
SV00122,Truong Thi Giang,15/08/2005,truongthigiang.sv00122@school.edu.vn,0635568766,L003
SV00123,Nguyen Gia Xuan,25/01/2003,nguyengiaxuan.sv00123@school.edu.vn,0836308893,L003
SV00124,Dang Ngoc Lan,19/04/2005,dangngoclan.sv00124@school.edu.vn,0787028601,L003
SV00125,Phan Thi Vinh,14/08/2003,phanthivinh.sv00125@school.edu.vn,0630526949,L003
SV00126,Vu Thanh Quyen,10/02/2002,vuthanhquyen.sv00126@school.edu.vn,0857076554,L003
SV00127,Ho Minh Khanh,22/09/2003,hominhkhanh.sv00127@school.edu.vn,0435680057,L003
SV00128,Ho Thi Xuan,26/12/2004,hothixuan.sv00128@school.edu.vn,0828011281,L003
SV00129,Ngo Huu Hung,20/09/2003,ngohuuhung.sv00129@school.edu.vn,0581438744,L003
SV00130,Truong Minh Trang,16/08/2004,truongminhtrang.sv00130@school.edu.vn,0835912828,L003
SV00131,Mai Minh Hoa,10/08/2005,maiminhhoa.sv00131@school.edu.vn,0378043329,L003
SV00132,Phan Duc Hung,13/09/2002,phanduchung.sv00132@school.edu.vn,0944826200,L003
SV00133,Nguyen Gia Hung,18/06/2005,nguyengiahung.sv00133@school.edu.vn,0998196237,L003
SV00134,Luu Ngoc Uyen,19/07/2003,luungocuyen.sv00134@school.edu.vn,0927366190,L003
SV00135,Dang Duc Dung,05/08/2005,dangducdung.sv00135@school.edu.vn,0557070957,L003
SV00136,Ly Thi Tuan,18/05/2004,lythituan.sv00136@school.edu.vn,0637278179,L003
SV00137,Do Thanh Trang,28/12/2004,dothanhtrang.sv00137@school.edu.vn,0491426926,L003
SV00138,Bui Duc Phuc,25/06/2004,buiducphuc.sv00138@school.edu.vn,0493258982,L003
SV00139,Le Thi Quyen,27/11/2005,lethiquyen.sv00139@school.edu.vn,0844304102,L003
SV00140,Ngo Gia Tuan,23/11/2005,ngogiatuan.sv00140@school.edu.vn,0532719144,L003
SV00141,Vo Minh Son,09/02/2004,vominhson.sv00141@school.edu.vn,0484325992,L003
SV00142,Ly Ngoc Phuong,09/02/2003,lyngocphuong.sv00142@school.edu.vn,0313208281,L003
SV00143,Dang Duc Nhu,18/11/2005,dangducnhu.sv00143@school.edu.vn,0942097911,L003
SV00144,Dang Van Em,23/07/2003,dangvanem.sv00144@school.edu.vn,0670431441,L003
SV00145,Nguyen Gia Cuong,13/09/2003,nguyengiacuong.sv00145@school.edu.vn,0686188017,L003
SV00146,Truong Thanh Yen,03/01/2002,truongthanhyen.sv00146@school.edu.vn,0686801456,L003
SV00147,Phan Duc Truc,08/02/2003,phanductruc.sv00147@school.edu.vn,0597640418,L003
SV00148,Vu Thi Nhu,08/08/2005,vuthinhu.sv00148@school.edu.vn,0412106195,L003
SV00149,Bui Ngoc Thy,07/02/2004,buingocthy.sv00149@school.edu.vn,0996332897,L003
SV00150,Nguyen Quang Yen,18/02/2004,nguyenquangyen.sv00150@school.edu.vn,0340029121,L004
SV00151,Ho Gia Cuong,28/07/2005,hogiacuong.sv00151@school.edu.vn,0743300128,L004
SV00152,Dang Thi Vinh,02/09/2004,dangthivinh.sv00152@school.edu.vn,0587433422,L004
SV00153,Bui Thanh Phuc,19/01/2004,buithanhphuc.sv00153@school.edu.vn,0472476724,L004
SV00154,Duong Duc Cuong,20/01/2004,duongduccuong.sv00154@school.edu.vn,0570457430,L004
SV00155,Ngo Thanh Thy,12/04/2005,ngothanhthy.sv00155@school.edu.vn,0758912685,L004
SV00156,Tran Duc Thy,27/08/2002,tranducthy.sv00156@school.edu.vn,0517302630,L004
SV00157,Hoang Ngoc Phuc,26/02/2004,hoangngocphuc.sv00157@school.edu.vn,0641840389,L004
SV00158,Phan Quang Hung,16/09/2002,phanquanghung.sv00158@school.edu.vn,0535776991,L004
SV00159,Ngo Kim Vinh,12/12/2003,ngokimvinh.sv00159@school.edu.vn,0661162344,L004
SV00160,Ho Gia Giang,21/06/2003,hogiagiang.sv00160@school.edu.vn,0821894533,L004
SV00161,Nguyen Thi Binh,11/04/2003,nguyenthibinh.sv00161@school.edu.vn,0851202581,L004
SV00162,Ho Minh Bao,03/11/2005,hominhbao.sv00162@school.edu.vn,0471938925,L004
SV00163,Bui Quang Son,26/07/2003,buiquangson.sv00163@school.edu.vn,0835992457,L004
SV00164,Truong Minh Giang,23/06/2005,truongminhgiang.sv00164@school.edu.vn,0540715922,L004
SV00165,Duong Huu Phuc,26/02/2004,duonghuuphuc.sv00165@school.edu.vn,0421814945,L004
SV00166,Truong Van Hoa,14/06/2002,truongvanhoa.sv00166@school.edu.vn,0457314049,L004
SV00167,Vo Gia Bao,07/02/2005,vogiabao.sv00167@school.edu.vn,0544385719,L004
SV00168,Le Thanh Tuan,13/10/2002,lethanhtuan.sv00168@school.edu.vn,0462546467,L004
SV00169,Luu Thi Binh,20/04/2005,luuthibinh.sv00169@school.edu.vn,0981251881,L004
SV00170,Le Gia Nam,03/11/2003,legianam.sv00170@school.edu.vn,0334067646,L004
SV00171,Ly Duc Giang,05/12/2005,lyducgiang.sv00171@school.edu.vn,0733895937,L004
SV00172,Luu Minh Son,07/12/2004,luuminhson.sv00172@school.edu.vn,0453046971,L004
SV00173,Duong Thanh Xuan,02/02/2004,duongthanhxuan.sv00173@school.edu.vn,0844061096,L004
SV00174,Nguyen Quang Son,25/06/2005,nguyenquangson.sv00174@school.edu.vn,0522140855,L004
SV00175,Tran Quang Mai,20/11/2004,tranquangmai.sv00175@school.edu.vn,0443054986,L004
SV00176,Tran Minh Trang,28/11/2004,tranminhtrang.sv00176@school.edu.vn,0586602946,L004
SV00177,Pham Huu Bao,16/01/2004,phamhuubao.sv00177@school.edu.vn,0463452891,L004
SV00178,Phan Minh Binh,22/01/2004,phanminhbinh.sv00178@school.edu.vn,0339227755,L004
SV00179,Do Thi Phuc,24/09/2005,dothiphuc.sv00179@school.edu.vn,0785752668,L004
SV00180,Tran Van Phuong,09/02/2004,tranvanphuong.sv00180@school.edu.vn,0360525145,L004
SV00181,Ly Kim Phuc,14/05/2005,lykimphuc.sv00181@school.edu.vn,0657844277,L004
SV00182,Bui Duc Son,18/12/2004,buiducson.sv00182@school.edu.vn,0485867492,L004
SV00183,Truong Minh Nam,01/09/2005,truongminhnam.sv00183@school.edu.vn,0532606224,L004
SV00184,Tran Minh Nam,05/08/2002,tranminhnam.sv00184@school.edu.vn,0942689739,L004
SV00185,Luu Thanh Xuan,22/12/2002,luuthanhxuan.sv00185@school.edu.vn,0682905717,L004
SV00186,Hoang Duc Giang,17/09/2002,hoangducgiang.sv00186@school.edu.vn,0951752564,L004
SV00187,Ly Minh Linh,12/09/2003,lyminhlinh.sv00187@school.edu.vn,0789422777,L004
SV00188,Tran Thi Phuc,17/08/2004,tranthiphuc.sv00188@school.edu.vn,0916341963,L004
SV00189,Duong Minh Hung,06/05/2003,duongminhhung.sv00189@school.edu.vn,0786961279,L004
SV00190,Truong Quang Phuong,12/01/2002,truongquangphuong.sv00190@school.edu.vn,0418980278,L004
SV00191,Nguyen Thi Mai,25/12/2002,nguyenthimai.sv00191@school.edu.vn,0916510376,L004
SV00192,Luu Huu Xuan,06/04/2005,luuhuuxuan.sv00192@school.edu.vn,0838195422,L004
SV00193,Le Kim Giang,07/11/2005,lekimgiang.sv00193@school.edu.vn,0939935580,L004
SV00194,Duong Van Trang,05/09/2004,duongvantrang.sv00194@school.edu.vn,0672705238,L004
SV00195,Ly Duc Hoa,23/02/2003,lyduchoa.sv00195@school.edu.vn,0687417676,L004
SV00196,Dang Minh Lan,01/09/2002,dangminhlan.sv00196@school.edu.vn,0336154829,L004
SV00197,Tran Duc Bao,28/03/2003,tranducbao.sv00197@school.edu.vn,0511272529,L004
SV00198,Mai Thi Thy,09/05/2003,maithithy.sv00198@school.edu.vn,0474332695,L004
SV00199,Ngo Ngoc Hung,21/10/2004,ngongochung.sv00199@school.edu.vn,0541023510,L004
SV00200,Nguyen Ngoc Yen,12/08/2004,nguyenngocyen.sv00200@school.edu.vn,0389100776,L005
SV00201,Phan Van Uyen,19/07/2002,phanvanuyen.sv00201@school.edu.vn,0523184642,L005
SV00202,Ly Duc Phuc,18/05/2005,lyducphuc.sv00202@school.edu.vn,0822873474,L005
SV00203,Luu Minh Khanh,28/07/2002,luuminhkhanh.sv00203@school.edu.vn,0367871063,L005
SV00204,Dinh Huu Hoa,12/10/2004,dinhhuuhoa.sv00204@school.edu.vn,0941699223,L005
SV00205,Luu Ngoc Phuong,26/02/2003,luungocphuong.sv00205@school.edu.vn,0551382750,L005
SV00206,Vu Huu Dung,20/06/2002,vuhuudung.sv00206@school.edu.vn,0816827007,L005
SV00207,Bui Gia Son,08/10/2005,buigiason.sv00207@school.edu.vn,0584789418,L005
SV00208,Ngo Thanh Quyen,06/08/2003,ngothanhquyen.sv00208@school.edu.vn,0699228108,L005
SV00209,Dinh Huu Khanh,18/10/2002,dinhhuukhanh.sv00209@school.edu.vn,0427337526,L005
SV00210,Dang Minh Mai,05/07/2002,dangminhmai.sv00210@school.edu.vn,0624329847,L005
SV00211,Tran Quang An,02/08/2002,tranquangan.sv00211@school.edu.vn,0386335837,L005
SV00212,Vu Gia Em,17/07/2005,vugiaem.sv00212@school.edu.vn,0582433774,L005
SV00213,Pham Gia Bao,10/04/2004,phamgiabao.sv00213@school.edu.vn,0616620171,L005
SV00214,Duong Kim Em,22/10/2005,duongkimem.sv00214@school.edu.vn,0494942555,L005
SV00215,Do Van Lan,23/02/2004,dovanlan.sv00215@school.edu.vn,0342410540,L005
SV00216,Bui Ngoc Truc,08/08/2005,buingoctruc.sv00216@school.edu.vn,0528059431,L005
SV00217,Ho Quang Giang,05/03/2003,hoquanggiang.sv00217@school.edu.vn,0753050017,L005
SV00218,Truong Kim Giang,10/09/2002,truongkimgiang.sv00218@school.edu.vn,0976962917,L005
SV00219,Nguyen Huu Ha,24/04/2005,nguyenhuuha.sv00219@school.edu.vn,0779080573,L005
SV00220,Ho Gia Bao,24/04/2005,hogiabao.sv00220@school.edu.vn,0674838320,L005
SV00221,Pham Huu Phuc,05/03/2003,phamhuuphuc.sv00221@school.edu.vn,0634581806,L005
SV00222,Nguyen Thanh Nam,08/11/2002,nguyenthanhnam.sv00222@school.edu.vn,0665930341,L005
SV00223,Le Minh Khanh,18/06/2004,leminhkhanh.sv00223@school.edu.vn,0458244681,L005
SV00224,Phan Quang Khanh,09/05/2002,phanquangkhanh.sv00224@school.edu.vn,0689964914,L005
SV00225,Ngo Huu Trang,07/08/2003,ngohuutrang.sv00225@school.edu.vn,0453497384,L005
SV00226,Ngo Quang Tuan,05/02/2005,ngoquangtuan.sv00226@school.edu.vn,0658030769,L005
SV00227,Phan Gia Em,06/10/2003,phangiaem.sv00227@school.edu.vn,0315350435,L005
SV00228,Dinh Duc Linh,19/06/2004,dinhduclinh.sv00228@school.edu.vn,0660604167,L005
SV00229,Nguyen Duc Dung,17/11/2003,nguyenducdung.sv00229@school.edu.vn,0731980942,L005
SV00230,Hoang Kim Phuc,24/09/2002,hoangkimphuc.sv00230@school.edu.vn,0519030331,L005
SV00231,Hoang Thanh Vinh,18/04/2004,hoangthanhvinh.sv00231@school.edu.vn,0610557029,L005
SV00232,Tran Gia Nhu,26/06/2004,trangianhu.sv00232@school.edu.vn,0338602933,L005
SV00233,Vo Huu Hoa,20/08/2002,vohuuhoa.sv00233@school.edu.vn,0727590478,L005
SV00234,Tran Duc Giang,27/06/2002,tranducgiang.sv00234@school.edu.vn,0739056314,L005
SV00235,Ngo Huu Long,27/09/2005,ngohuulong.sv00235@school.edu.vn,0789727083,L005
SV00236,Truong Thi Hoa,25/03/2004,truongthihoa.sv00236@school.edu.vn,0543774030,L005
SV00237,Vo Minh Oanh,27/11/2005,vominhoanh.sv00237@school.edu.vn,0638009757,L005
SV00238,Hoang Van Hoa,23/02/2003,hoangvanhoa.sv00238@school.edu.vn,0642289798,L005
SV00239,Dinh Kim Cuong,14/10/2003,dinhkimcuong.sv00239@school.edu.vn,0643499384,L005
SV00240,Duong Quang Oanh,16/01/2003,duongquangoanh.sv00240@school.edu.vn,0940014165,L005
SV00241,Ly Huu Nhu,08/11/2005,lyhuunhu.sv00241@school.edu.vn,0778762032,L005
SV00242,Duong Thanh Thy,25/07/2002,duongthanhthy.sv00242@school.edu.vn,0519453064,L005
SV00243,Duong Ngoc Nhu,24/09/2003,duongngocnhu.sv00243@school.edu.vn,0971968846,L005
SV00244,Mai Huu Phuong,08/07/2003,maihuuphuong.sv00244@school.edu.vn,0593047141,L005
SV00245,Luu Van Cuong,03/01/2003,luuvancuong.sv00245@school.edu.vn,0655782730,L005
SV00246,Luu Gia Giang,18/11/2003,luugiagiang.sv00246@school.edu.vn,0877997733,L005
SV00247,Bui Ngoc Linh,28/05/2003,buingoclinh.sv00247@school.edu.vn,0448155451,L005
SV00248,Duong Gia Quyen,28/10/2002,duonggiaquyen.sv00248@school.edu.vn,0833729935,L005
SV00249,Hoang Duc Thy,20/06/2002,hoangducthy.sv00249@school.edu.vn,0524667008,L005
SV00250,Vo Kim Nhu,16/05/2004,vokimnhu.sv00250@school.edu.vn,0925711825,L006
SV00251,Dinh Thanh Trang,25/02/2004,dinhthanhtrang.sv00251@school.edu.vn,0655859686,L006
SV00252,Vo Ngoc Long,14/09/2003,vongoclong.sv00252@school.edu.vn,0944513178,L006
SV00253,Ho Huu Linh,03/10/2003,hohuulinh.sv00253@school.edu.vn,0822695481,L006
SV00254,Pham Thi Oanh,02/02/2004,phamthioanh.sv00254@school.edu.vn,0352897222,L006
SV00255,Nguyen Kim Hung,24/02/2003,nguyenkimhung.sv00255@school.edu.vn,0797408893,L006
SV00256,Do Kim Oanh,18/07/2003,dokimoanh.sv00256@school.edu.vn,0753950551,L006
SV00257,Ngo Van Phuong,16/06/2003,ngovanphuong.sv00257@school.edu.vn,0515279545,L006
SV00258,Duong Quang Nhu,01/05/2004,duongquangnhu.sv00258@school.edu.vn,0962768053,L006
SV00259,Luu Minh Phuc,19/12/2005,luuminhphuc.sv00259@school.edu.vn,0941648219,L006
SV00260,Do Van Xuan,10/01/2003,dovanxuan.sv00260@school.edu.vn,0480427168,L006
SV00261,Tran Huu Hung,10/05/2005,tranhuuhung.sv00261@school.edu.vn,0448316810,L006
SV00262,Bui Duc Binh,23/05/2005,buiducbinh.sv00262@school.edu.vn,0695647739,L006
SV00263,Ho Kim Khanh,26/10/2005,hokimkhanh.sv00263@school.edu.vn,0990426292,L006
SV00264,Vo Minh Trang,12/03/2003,vominhtrang.sv00264@school.edu.vn,0682024673,L006
SV00265,Ho Minh Hung,06/07/2005,hominhhung.sv00265@school.edu.vn,0713851306,L006
SV00266,Nguyen Thi Trang,20/09/2004,nguyenthitrang.sv00266@school.edu.vn,0858201358,L006
SV00267,Ly Van Yen,11/03/2003,lyvanyen.sv00267@school.edu.vn,0496602216,L006
SV00268,Duong Huu Giang,03/02/2004,duonghuugiang.sv00268@school.edu.vn,0525797587,L006
SV00269,Bui Kim Khanh,01/04/2002,buikimkhanh.sv00269@school.edu.vn,0947972197,L006
SV00270,Tran Minh Oanh,21/06/2003,tranminhoanh.sv00270@school.edu.vn,0376087090,L006
SV00271,Do Quang Truc,16/07/2004,doquangtruc.sv00271@school.edu.vn,0834583110,L006
